 T: 2018-01-15 18:30:27,835 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:27,876 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:27,891 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:29,555 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:29,555 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:29,555 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:29,559 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,709 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,713 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,715 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,810 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,810 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:33,810 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '9746be0e-a7b8-46d7-b992-d2fc1da3c145' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 18:30:34,068 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id 'abafcf7c-b416-478e-a899-fa39bd597ab4' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
