 T: 2018-01-15 23:31:23,956 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:23,971 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:23,971 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:25,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:25,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:25,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:25,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,411 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,412 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,414 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'd0f970a5-055c-4327-9e24-8417428df959' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,652 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '032ee25b-37b7-4469-913e-9ac7f320210d' |L: MMSG.Automation |MSG: ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:31:29,653 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '032ee25b-37b7-4469-913e-9ac7f320210d' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:36:30,773 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '032ee25b-37b7-4469-913e-9ac7f320210d' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
