 T: 2018-01-15 23:40:52,737 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:52,756 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:52,762 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:54,258 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:54,259 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:54,259 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:54,262 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,394 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,395 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,397 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,600 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,601 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,601 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'babbfe67-3c3d-4b28-8d63-d24cb5b30c0b' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:40:58,758 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '64c77633-7cc1-4dc6-b356-0a0735d391a4' |L: MMSG.Automation |MSG: ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:41:36,064 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '64c77633-7cc1-4dc6-b356-0a0735d391a4' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
