 T: 2018-01-15 23:43:25,457 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:25,479 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:25,495 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:27,077 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:27,077 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:27,077 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:27,081 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,714 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,716 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,717 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,852 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,852 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:33,852 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '7bbfeb8e-f819-40bf-a0c5-ca95d8dc0c5c' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:34,015 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '2b1bf1d5-5ba6-42f6-b974-a7aa00c417dd' |L: MMSG.Automation |MSG: ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:43:36,516 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '2b1bf1d5-5ba6-42f6-b974-a7aa00c417dd' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
