 T: 2018-01-15 23:46:22,939 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:22,959 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:22,968 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:24,961 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:24,961 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:24,961 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:24,965 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,498 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,499 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,501 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,672 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,672 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,672 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0c018232-1a63-4394-8a13-1ae07e8859fc' |L: MMSG.Automation |MSG: ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:29,912 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'b43c6477-73db-42d3-b8f0-09e8d3d485da' |L: MMSG.Automation |MSG: ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:46:52,287 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'b43c6477-73db-42d3-b8f0-09e8d3d485da' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:47:39,289 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'b43c6477-73db-42d3-b8f0-09e8d3d485da' |L: MMSG.Automation |MSG: ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-15 23:47:49,477 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'b43c6477-73db-42d3-b8f0-09e8d3d485da' |L: MMSG.Automation |MSG: ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
