 T: 2018-01-16 15:21:39,092 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:39,121 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:39,136 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:41,551 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:41,551 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:41,551 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:41,554 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,088 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,089 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,090 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,186 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,187 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,187 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '5febd7d7-f8b8-4d0a-90e9-297b0919c85d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,246 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cc17a9b-3392-402a-8632-65a79c191109' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:45,247 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cc17a9b-3392-402a-8632-65a79c191109' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:48,067 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cc17a9b-3392-402a-8632-65a79c191109' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 15:21:48,068 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '0cc17a9b-3392-402a-8632-65a79c191109' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~  ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
