 T: 2018-01-16 17:29:49,419 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:49,437 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:49,460 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:51,342 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:51,342 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:51,342 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:51,345 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,375 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,377 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,378 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,648 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,648 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:29:58,648 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '57320455-3849-4bb6-aada-48d3c69d9087' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
