 T: 2018-01-16 17:37:31,980 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:32,009 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:32,025 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:34,921 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:34,921 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:34,921 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:34,925 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,602 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,604 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,605 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,849 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,849 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:40,850 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '0f3bda65-7886-409d-8f09-1fc605fbbd4b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 17:37:41,498 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '964c3737-14c5-42c0-9aa2-62df7e0d2bc5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
