 T: 2018-01-16 18:47:35,664 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:35,686 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:35,710 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:37,305 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:37,305 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:37,305 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:37,310 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,018 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,020 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,021 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,085 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,086 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,086 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '570847a4-fb8b-4ac0-af5a-18fb65c72130' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-16 18:47:44,197 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id 'ab506780-95cc-489f-a315-dad4d10219ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
