 T: 2018-01-18 22:27:15,306 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:19,058 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:28,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:41,491 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:41,491 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:41,491 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:27:41,496 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,341 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,790 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,790 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,790 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1977421c-b630-471c-a2ca-c1678c56ce7b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,860 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '7863e83c-4d12-4fb4-93b2-dc70cadb405b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:00,873 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '7863e83c-4d12-4fb4-93b2-dc70cadb405b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 22:28:01,303 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '7863e83c-4d12-4fb4-93b2-dc70cadb405b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = There is an error in the XML document. ~ ScreenShot File = 201811822281 
