 T: 2018-01-18 23:06:54,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:54,050 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:54,111 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:57,287 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:57,287 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:57,287 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:57,292 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:57,294 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,003 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,003 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,003 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9152d29f-275c-468c-a3c4-ef2dca7e07de' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,109 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'a7097d8e-71c5-4883-83ab-78871bf6304e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,112 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'a7097d8e-71c5-4883-83ab-78871bf6304e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:06:58,318 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'a7097d8e-71c5-4883-83ab-78871bf6304e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = There is an error in the XML document. ~ ScreenShot File = 201811823658 
