 T: 2018-01-18 23:08:21,662 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:08:27,699 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:08:52,453 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:08:53,957 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:08:56,019 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:09:29,495 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:09:44,461 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:09:47,929 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:09:59,356 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:10:06,411 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:11:04,160 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e17991ba-ada4-4349-916e-d74730b4badc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:11:29,770 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '0c1e6842-7c40-4e66-a40d-c34eaeb71514' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:11:39,903 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '0c1e6842-7c40-4e66-a40d-c34eaeb71514' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
