 T: 2018-01-18 23:23:04,108 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:17,731 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:17,793 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:21,311 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:21,311 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:23,960 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:28,412 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:30,449 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:37,410 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:43,360 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:23:50,736 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7f6f8179-4712-4b0c-8f44-2b2ebcfbebcb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:24:05,771 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '184a155d-4367-4403-af3b-2e9638e86c98' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:24:05,786 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '184a155d-4367-4403-af3b-2e9638e86c98' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:24:05,879 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '184a155d-4367-4403-af3b-2e9638e86c98' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = There is an error in the XML document. ~ ScreenShot File = 201811823245 
