 T: 2018-01-18 23:28:52,237 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:57,031 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:57,152 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:58,918 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:58,919 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:58,919 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:28:58,922 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:19,889 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:20,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:20,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:20,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f51b7cbc-17be-40e1-8e14-694c265eddeb' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:28,654 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'df0a5d42-1850-4836-a5f0-9a439500bafc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:29:32,310 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'df0a5d42-1850-4836-a5f0-9a439500bafc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
