 T: 2018-01-18 23:35:36,157 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:36,177 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:36,221 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:38,736 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:38,737 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:38,737 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:38,741 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:48,898 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:49,701 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:49,701 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:35:49,701 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'dfddd6fc-15e0-43e2-a28f-4a6caa74806a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:36:00,755 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '953d5fca-a335-49f3-ac5e-6025ba3310fd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:36:07,948 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '953d5fca-a335-49f3-ac5e-6025ba3310fd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:07,966 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '953d5fca-a335-49f3-ac5e-6025ba3310fd' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Sequence contains no elements ~ ScreenShot File = 201811823397 
