 T: 2018-01-18 23:39:34,816 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:34,850 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:34,911 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,025 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,026 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:37,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '29362496-c090-4e5b-92b1-4258a6d444ac' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:50,877 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '762bbe3a-3cfa-4486-8368-dbbce2baa6df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-18 23:39:58,236 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '762bbe3a-3cfa-4486-8368-dbbce2baa6df' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
