 T: 2018-01-19 14:25:44,399 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:44,427 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:44,533 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,108 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,108 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,108 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,112 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,114 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:25:54,605 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4f1feee0-ebd9-49a9-8f28-f8bb5cdae7ab' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:26:21,185 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'b260ff3b-fdb0-4235-8eff-615ec05d6d2c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:26:45,122 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'b260ff3b-fdb0-4235-8eff-615ec05d6d2c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
