 T: 2018-01-19 14:33:15,111 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:15,126 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:15,236 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:17,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:17,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:17,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:17,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:17,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:18,626 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:18,626 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:18,626 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '45443ee4-15d7-41bd-965a-a2cf07812953' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:30,759 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'b1f7e522-41d5-4cab-9037-3bad80fc8528' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:33:36,272 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'b1f7e522-41d5-4cab-9037-3bad80fc8528' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
