 T: 2018-01-19 14:35:24,700 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:24,724 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:24,811 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:26,765 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:26,765 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:26,765 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:26,770 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:26,771 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:27,220 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:27,220 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:27,220 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b64c7e2c-2a56-4719-b375-c35e4d6143f7' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:37,701 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'be9f11a8-ed9c-45dc-b428-86a9cb631266' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:35:46,794 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'be9f11a8-ed9c-45dc-b428-86a9cb631266' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
