 T: 2018-01-19 14:38:57,508 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:38:57,534 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:38:57,690 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,015 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,015 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,015 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,019 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,021 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,621 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,621 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:00,621 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '205df4b0-a2b2-488e-ab03-5de4f66e4cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:09,825 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'ed42e96d-7279-44ba-8975-aad116feca37' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:39:16,880 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'ed42e96d-7279-44ba-8975-aad116feca37' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
