 T: 2018-01-19 14:49:05,764 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:05,785 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:05,906 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,402 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,402 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,402 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,406 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,408 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,972 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,972 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:08,972 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '5b4afd9a-0e1d-4dcf-851c-03d52332b2e5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:49:27,023 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '4bdbcc50-895d-4992-982a-852bfabfb3b9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
