 T: 2018-01-19 14:50:55,049 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:55,075 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:55,135 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,310 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,315 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,317 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:50:57,976 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0e426824-f73c-4043-b0e2-46e1673c4925' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:51:13,673 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'db4fc6eb-0fc8-4f3c-ad3b-11b664cfec7f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 14:51:20,504 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'db4fc6eb-0fc8-4f3c-ad3b-11b664cfec7f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
