 T: 2018-01-19 15:08:35,907 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:35,935 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:35,990 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:38,723 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:38,723 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:38,723 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:38,728 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:38,729 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:39,342 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:39,342 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:08:39,343 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3f25c837-d606-495d-abd0-24aeb0830f5c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:10:12,759 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '72b77e0a-f167-4f94-9b39-a2d2dcdbd7e2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
