 T: 2018-01-19 15:13:20,903 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:20,942 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:21,076 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,100 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,100 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,100 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,105 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,107 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,676 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,676 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:23,676 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e54dd47f-795d-421b-9f9e-d775b020e9a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:13:26,110 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '2f6e8be3-8d54-49fc-809e-f8abfef34b41' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
