 T: 2018-01-19 15:15:40,706 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:40,727 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:40,980 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,210 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,211 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,211 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,215 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,773 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,773 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:43,773 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b75fd743-e72d-4f2d-adf1-63edd1066439' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:15:55,582 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '6e9ff8e6-6346-4298-869f-1a0684d087a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:16:03,081 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '6e9ff8e6-6346-4298-869f-1a0684d087a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:18:25,472 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '6e9ff8e6-6346-4298-869f-1a0684d087a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Sequence contains no elements ~ ScreenShot File = 2018119151825 
