 T: 2018-01-19 15:28:11,207 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:11,231 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:11,274 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:13,148 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:13,148 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:13,149 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:13,153 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:13,155 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:14,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:14,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:14,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '7a58c5a0-9d38-4b21-99d5-6e451cd58b58' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:33,691 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '0d8c4a5f-5153-458a-a7b1-bebce4541354' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:28:45,492 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '0d8c4a5f-5153-458a-a7b1-bebce4541354' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:31:49,436 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '0d8c4a5f-5153-458a-a7b1-bebce4541354' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Sequence contains no elements ~ ScreenShot File = 2018119153149 
