 T: 2018-01-19 15:58:02,896 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:02,923 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:02,983 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:06,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:06,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:06,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:06,762 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:06,764 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:07,266 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:07,266 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:07,266 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '44658935-089a-4d3d-8a35-d3691eb52cf0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:18,649 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'a146fbb0-ee1c-4cc3-ae84-904f249beb70' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 15:58:33,279 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id 'a146fbb0-ee1c-4cc3-ae84-904f249beb70' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
