 T: 2018-01-19 16:04:16,909 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:16,934 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:16,994 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:19,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:19,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:19,556 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:19,560 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:19,562 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:20,084 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:20,084 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:20,084 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9a2e84ce-1834-487d-9c12-e6d5cf254b81' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:04:33,008 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '6f4be2a0-4cd0-44ea-aad1-fdd9cc305704' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:05:01,671 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '6f4be2a0-4cd0-44ea-aad1-fdd9cc305704' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
