 T: 2018-01-19 16:11:48,910 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:48,931 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:49,013 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,238 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,239 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,239 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,243 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,245 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:51,829 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '67c907c7-9dbb-4c97-81c9-4f9fe3499535' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:55,034 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '3c3ef5be-ef97-4e23-b9ab-e581f024ec6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:11:57,264 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '3c3ef5be-ef97-4e23-b9ab-e581f024ec6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
