 T: 2018-01-19 16:27:05,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:05,816 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:05,919 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:07,963 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:07,963 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:07,963 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:07,969 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:07,972 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:08,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:08,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:08,606 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6509dc07-5aa0-4d17-8845-3443fc4d687c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:36,664 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '97897875-3fa1-483c-a690-ce3614863a7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:27:43,634 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '97897875-3fa1-483c-a690-ce3614863a7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:31:48,602 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '97897875-3fa1-483c-a690-ce3614863a7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:34:47,483 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '97897875-3fa1-483c-a690-ce3614863a7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-19 16:34:50,872 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '97897875-3fa1-483c-a690-ce3614863a7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Exit ~ ScreenShot File = Not Applicable 
