 T: 2018-02-01 15:59:08,264 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:08,289 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:08,346 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,114 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,114 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,114 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,118 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,119 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,875 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,875 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 15:59:12,875 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e41c809f-49e0-47d9-b82d-d0c4cef8e202' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
