 T: 2018-02-01 16:00:32,990 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:33,014 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:33,093 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:34,676 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:34,677 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:34,677 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:34,680 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:34,682 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:35,168 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:35,168 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:35,168 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:00:35,170 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'c8d98102-20e8-47c8-8a23-14b83ea4d5a6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
