 T: 2018-02-01 16:02:21,350 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:21,381 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:21,500 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:23,390 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:23,390 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:23,390 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:25,484 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:25,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:25,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:25,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:02:25,993 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b97bf136-322f-4b8b-8463-d97b8f2e498a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
