 T: 2018-02-01 16:04:47,278 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:47,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:47,412 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:49,413 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:49,413 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:49,413 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:50,779 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:50,784 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:51,288 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:51,288 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:51,288 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:53,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:53,022 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:53,185 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:53,185 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:04:53,185 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'af9397c4-92a9-42d2-ae99-00b90013eb57' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:06:24,046 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '44d0f687-e411-4ffd-aa1d-52e8dbdd687a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = SearchUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:06:34,318 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '44d0f687-e411-4ffd-aa1d-52e8dbdd687a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = UserSearch ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:07:56,492 |L: INFO |TH: Agent: adapter run thread for test 'CommetUserSearchUsingEmployeeNumber' with id '44d0f687-e411-4ffd-aa1d-52e8dbdd687a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Sequence contains no elements ~ ScreenShot File = 20182116756 
