 T: 2018-02-01 16:08:33,285 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:33,307 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:33,369 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,420 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,420 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,420 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,425 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,427 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,900 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,900 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,901 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:08:35,903 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '3bb272a8-2f67-4e52-80b9-f1b324470a2d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
