 T: 2018-02-01 16:20:46,668 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:46,695 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:46,786 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,152 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,152 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,152 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,157 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,159 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,707 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,707 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,707 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,709 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,710 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:20:49,864 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'ac501820-3227-4c9b-bfa6-e282b9efb73b' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
