 T: 2018-02-01 16:26:23,228 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:23,252 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:23,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,302 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,304 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,776 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,776 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:26:25,776 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '82b8f8db-23c7-4c9d-8d53-e1e92f846052' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
