 T: 2018-02-01 16:29:34,746 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:34,766 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:34,873 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:36,515 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:36,515 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:36,515 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:36,519 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:36,521 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:37,021 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:37,021 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:37,021 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '395d741f-2e31-4562-8e26-72f8a713cb68' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
