 T: 2018-02-01 16:29:55,169 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:55,191 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:55,257 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,219 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,219 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,219 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,224 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,225 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,925 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,925 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:29:57,925 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '52383691-977f-4b95-a10e-0e3d87d529ea' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
