 T: 2018-02-01 16:38:19,677 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:19,701 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:19,783 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:21,616 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:21,617 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:21,617 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:21,622 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:21,625 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,052 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,052 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,052 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,054 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,055 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:38:22,237 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'bdbdf801-22d2-4a0c-a7bf-a3fb2a270718' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
