 T: 2018-02-06 15:50:31,312 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:31,363 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:31,509 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,282 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,289 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,291 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,717 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,717 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,717 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 15:50:37,720 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '63729390-e132-491b-8476-9db5ddb1e3a0' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
