 T: 2018-02-06 16:26:58,214 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:26:58,245 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:12,327 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:20,264 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:24,000 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:27,761 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:30,537 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:30,537 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:30,912 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:30,912 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:27:30,912 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'f7899df0-2d93-4041-abb5-860b7f8b1ca5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
