 T: 2018-02-06 16:33:18,767 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:18,798 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:18,892 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:26,862 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:26,862 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:26,862 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:26,862 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:26,862 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:27,331 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:27,331 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 16:33:27,331 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '24a91ca0-114a-4627-92c9-5527a1b37543' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
