 T: 2018-02-06 19:40:04,669 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:04,685 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:04,727 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:12,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:12,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:12,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:12,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:12,672 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:13,109 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:13,109 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 19:40:13,109 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '9c3f3275-cd01-44cd-b3ce-125822b1eba8' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
