 T: 2018-02-06 20:06:38,917 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:38,942 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:39,092 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:44,837 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:44,837 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:44,837 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:44,842 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:44,844 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:45,213 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:45,213 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 20:06:45,213 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a110fd83-d080-4a9f-a1fc-229d96906be6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
