 T: 2018-02-06 21:11:16,070 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:16,090 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:16,155 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,144 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,144 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,145 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,150 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,152 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,581 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,582 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:11:22,582 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e405a513-cef4-4bc4-adf2-aad3d80d3c1e' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
