 T: 2018-02-06 21:22:13,736 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:13,757 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:13,814 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,058 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,059 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,059 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,063 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,065 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,831 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,831 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:22:20,831 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '2e22a0ec-3290-4f0e-99dc-aaea45568919' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
