 T: 2018-02-06 21:38:13,524 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:13,544 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:13,712 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,103 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,104 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,104 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,109 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,111 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,486 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,486 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,486 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,488 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,489 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,656 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:38:27,656 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '09ee1eea-2bda-41d1-af71-dbfd89519be9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
