 T: 2018-02-06 21:44:11,645 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:11,665 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:11,760 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:17,759 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:17,759 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:17,759 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:17,764 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:17,765 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:18,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:18,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 21:44:18,217 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '473c96b2-c371-4c50-b402-cf84c3821251' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
