 T: 2018-02-06 23:14:37,794 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:37,824 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:37,935 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:43,962 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:43,962 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:43,963 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:43,967 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:43,969 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,437 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,437 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,437 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,440 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,441 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,600 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:14:44,600 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '4ff06fa6-0654-4d9b-8af0-56633f85984d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
