 T: 2018-02-06 23:27:20,787 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:20,806 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:20,863 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,046 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,048 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-06 23:27:27,455 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '6111575e-258d-4b70-b53b-53df8ba48e6c' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
