 T: 2018-02-07 16:42:36,102 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:36,120 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:36,211 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,022 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,022 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,022 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,027 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,029 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:42:42,387 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'daa8a9af-eed5-4978-b71e-a015f3f167b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
