 T: 2018-02-07 16:47:47,109 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:47,134 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:47,166 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,132 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,132 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,132 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,137 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,138 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,609 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,609 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:47:53,609 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '46d1ffe5-729c-4e14-82ec-e834d4d8155f' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
