 T: 2018-02-07 16:59:55,405 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:59:55,427 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 16:59:55,472 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:01,578 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:01,578 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:01,578 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:01,582 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:01,583 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,020 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,022 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,023 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,174 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = GetCommetNewEmoplyeePageTitle ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,174 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,174 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'e81f20f6-56ec-4aef-b90b-ce5fc73085fc' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,267 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '78b0c28c-0b33-4455-b3cf-fb871cfff587' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ClickOption ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,270 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '78b0c28c-0b33-4455-b3cf-fb871cfff587' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:02,270 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '78b0c28c-0b33-4455-b3cf-fb871cfff587' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:00:03,658 |L: INFO |TH: Agent: adapter run thread for test 'CreateNewEmployeeAsCommetUser' with id '78b0c28c-0b33-4455-b3cf-fb871cfff587' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = Employee_personaldetailsPage ~ MethodName = ClickNewButton ~ Message = Exit ~ ScreenShot File = Not Applicable 
