 T: 2018-02-07 17:02:34,533 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:34,551 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:34,622 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:40,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:40,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:40,545 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:40,550 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:40,551 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:41,093 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:41,093 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 17:02:41,093 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'eaadb911-d20d-4d4c-9aa6-b7c212a029b6' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
