 T: 2018-02-07 18:12:38,949 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:38,968 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:39,011 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,095 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,099 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,101 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,613 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 18:12:45,616 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'b45175a3-657e-4999-9570-022a7e3c2178' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
