 T: 2018-02-07 19:34:18,592 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:18,611 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:18,771 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,225 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,225 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,226 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,231 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,233 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,573 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,574 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:34:46,574 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '643c4038-6f11-4a17-8c0c-a9845add44ee' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
