 T: 2018-02-07 19:50:42,263 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:42,283 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:42,336 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:48,755 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:48,755 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:48,755 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:48,760 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:48,761 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:49,171 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:49,171 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:49,171 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:50:49,173 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0ebf1f25-4a9b-4345-b948-a023a61dea53' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
