 T: 2018-02-07 19:55:28,555 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:28,573 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:28,634 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,277 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,277 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,277 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,280 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,282 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,658 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,658 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,658 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:55:34,660 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'a6accd30-de0b-48ca-8aa3-9f0f8c1bb091' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
