 T: 2018-02-07 19:58:25,251 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:25,269 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:25,312 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,159 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,160 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,160 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,164 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,166 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,595 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,595 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 19:58:31,595 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id 'fa776bec-7637-47c7-b8f6-6396f31002f4' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
