 T: 2018-02-07 20:01:56,023 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:01:56,041 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:01:56,143 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:02,873 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:02,873 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:02,873 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:02,877 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:02,878 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:03,274 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:03,274 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:03,274 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:02:03,276 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '813276ea-c04c-4d96-ac3e-43656e276f6a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryDefinition ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
