 T: 2018-02-07 20:09:48,110 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:48,130 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:48,190 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,379 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,379 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,379 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,384 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,386 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,751 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,751 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:09:54,751 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '34c7d59e-2245-45c6-bb78-bdfc6e6dc4ff' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
