 T: 2018-02-07 20:13:46,564 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:46,585 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:46,668 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:52,732 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:52,732 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:52,732 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:52,737 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:52,739 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:53,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:53,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:13:53,298 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '0970b2dc-971d-4fce-bdc1-15563e617977' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
