 T: 2018-02-07 20:17:02,210 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:02,228 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:02,270 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:08,820 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:08,820 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:08,820 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:08,825 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:08,827 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:09,357 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CallCentreEnquiryPage ~ MethodName = GetApplicationLogoExistance ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:09,357 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~TestCaseName  = ValidateTheUserDetails ~ ScenarioName =User launch Comet URL ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-07 20:17:09,357 |L: INFO |TH: Agent: adapter run thread for test 'UserLaunchCometURL' with id '1f2d66a4-95b7-495e-b045-e7bcecffa323' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Internet Explorer ~ ~ClassName = CommonDefinition ~ MethodName = ValidateDisplayCometLogo ~ Message = Exit ~ ScreenShot File = Not Applicable 
